,function,language,stars_mean,watchers_mean,forks_mean
244,s3-cost-explorer,Python,1,1,0
47,s3-get-object,JavaScript,42,7,22
67,s3-get-object-python,JavaScript,42,7,22
75,s3-get-object-python3,JavaScript,42,7,22
254,s3-lambda-csv-to-pdf-s3,JavaScript,0,1,0
196,s3-lambda-csv-to-xlsx-s3,JavaScript,6,2,3
373,s3-lambda-ffmpeg-aac-wav-to-mp3-s3,JavaScript,5,2,3
281,s3-lambda-ffmpeg-mov-to-mp4-s3,JavaScript,6,1,5
258,s3-lambda-image-text-detection-dynamodb,TypeScript,3,1,3
350,s3-lambda-markdown-to-docx-s3,JavaScript,4,1,0
286,s3-lambda-markdown-to-html-s3,JavaScript,2,1,1
86,s3-lambda-publisher-sns,JavaScript,3,1,2
40,s3-lambda-save-dynamodb,JavaScript,10,2,1
502,s3-lambda-sns-demo,Python,1,0,0
358,s3-lambda-svg-to-pdf-s3,JavaScript,1,1,1
239,s3-lambda-transcribe-audio-to-text-s3,JavaScript,62,2,0
321,s3-pgp-encryptor,JavaScript,3,1,5
102,s3-presigned-url,Python,6682,333,1699
115,s3-replicator,JavaScript,5,2,3
421,s3-signed-urls,JavaScript,4,1,0
151,s3-static-site,None,6,1,2
442,s3-to-dynamodb-importer,JavaScript,6,1,1
401,sagemaker-image-classification,Jupyter Notebook,0,2,1
452,sam-alb,Go,3,4,0
370,sar-aws-sns-to-slack,Python,1,1,0
441,selfless-service-updates,Python,0,1,0
233,sepia,JavaScript,90,8,40
498,serverless-agentless-honeycomb-publisher,Go,1,0,0
82,serverless-chrome-layer,JavaScript,4,1,0
500,serverless-cicd-pipeline,None,1,1,0
78,serverless-cognito,Python,50,2,7
456,serverless-cognito-auth,Go,1,1,0
472,serverless-data-pipeline,Python,8,2,0
73,serverless-form-handler,JavaScript,11,0,3
182,serverless-numpy,Python,3,1,1
309,serverless-search,JavaScript,104,4,10
30,serverless-todo,JavaScript,22,3,13
416,serverless-uptime-monitor,JavaScript,0,1,0
107,ses-notification-nodejs,JavaScript,42,7,22
154,ses-notification-python,JavaScript,42,7,23
143,sfn-callback-urls,Python,34,1,4
291,sfn-yaml-macro,Python,12,1,2
433,ship-logs-to-honeycomb,JavaScript,4,1,1
425,signed-links-cognito,JavaScript,0,1,0
303,signed-url-generator,Python,1,1,0
42,simple-mobile-backend,JavaScript,42,7,22
105,slack-echo-command,JavaScript,42,7,22
98,slack-echo-command-python,JavaScript,42,7,22
191,slack-slash-hodor,JavaScript,1,1,1
