function,stars,watchers,forks,language
generic-webhook-to-eventbridge,18.0,2.0,2.0,TypeScript
appsync-graphql-crud-dynamodb,9.0,1.0,1.0,None
rev11-attiotbutton-SQL,0.0,2.0,0.0,None
ec2-spot-interruption-logging-insights,599.0,63.0,203.0,Jupyter Notebook
guardduty-log-uploader,3.0,1.0,1.0,Go
kinesis-firehose-syslog-to-csv-python,42.0,7.0,23.0,JavaScript
kinesis-firehose-syslog-to-json,42.0,7.0,23.0,JavaScript
kinesis-data-firehose-to-s3,1.0,1.0,0.0,Makefile
nephridium,2.0,0.0,0.0,JavaScript
MWSAlerts,1.0,1.0,1.0,Python
HDFproc,853.0,43.0,160.0,Python
blur-faces-rekognition,2.0,1.0,0.0,Python
small-data-service,1.0,1.0,0.0,Python
daily-billing-report-to-slack,0.0,1.0,0.0,Python
ThundraImageLinkExtractor,13.0,4.0,4.0,Java
phone-home,0.0,1.0,0.0,JavaScript
workmail-chat-bot-python,7.0,3.0,5.0,Python
S3-Auto-Translator,1.0,1.0,0.0,JavaScript
sumologic-aws-cloudtrail-benchmark,98.0,47.0,107.0,Python
monte-carlo-pi,0.0,1.0,0.0,Python
pushilka-cloudfront-headers,0.0,1.0,2.0,JavaScript
uvasoftware-guarana,0.0,1.0,0.0,Java
timestamp-custom-resource,0.0,1.0,0.0,Python
generic-webhook-to-sns,3.0,3.0,0.0,TypeScript
SpheroAlexaSkill,4.0,1.0,0.0,JavaScript
s3-lambda-markdown-to-docx-s3,4.0,1.0,0.0,JavaScript
image-proxy,5.0,0.0,1.0,Go
AthenaSQLITEConnector,29.0,4.0,2.0,Python
twilio-conference,42.0,7.0,23.0,JavaScript
aws-serverless-financial-functions-mirr,38.0,19.0,8.0,Python
dungeon-maestro-slack-bot,3.0,1.0,0.0,Go
ssm-sign-proxy,0.0,2.0,0.0,Go
twilio-simple-blueprint,42.0,7.0,23.0,JavaScript
s3-lambda-svg-to-pdf-s3,1.0,1.0,1.0,JavaScript
aws-serverless-financial-functions-pmt,38.0,19.0,8.0,Python
kinesis-firehose-process-record-streams-as-source-python,42.0,7.0,23.0,JavaScript
OpenIdAuthorizer,3.0,1.0,1.0,C#
lambda-create-email-template-ses,2.0,2.0,0.0,JavaScript
lambda-slack-handler,0.0,2.0,1.0,JavaScript
lambci,3768.0,96.0,220.0,Shell
trigger-t2-unlimited-with-sns,3.0,1.0,2.0,Python
rev11-attiotbutton-filemakerapi,0.0,2.0,0.0,None
